<Ver.2.0>
2,00	<0>	<0>	<0>
2,10	<0>	<0>	<0>
2,20	<0>	<0>	<0>
2,30	<0>	<0>	<0>
2,40	<0>	<0>	<0>
2,50	<0>	<0>	<0>
2,60	<0>	<0>	<0>
2,70	<0>	<0>	<0>
2,80	<0>	<0>	<0>
2,90	<0>	<0>	<0>
3,00	<0>	<0>	<0>
3,10	<15>	<28>	<0>
3,20	<29>	<54>	<0>
3,30	<32>	<59>	<0>
3,40	<34>	<63>	<0>
3,50	<37>	<69>	<0>
3,60	<40>	<74>	<0>
3,70	<44>	<82>	<2>
3,80	<47>	<87>	<4>
3,90	<50>	<98>	<7>
4,00	<55>	<102>	<8>
4,10	<59>	<109>	<10>
4,20	<64>	<119>	<12>
4,30	<69>	<128>	<15>
4,40	<75>	<139>	<18>
4,50	<80>	<148>	<20>
4,60	<85>	<158>	<23>
4,70	<90>	<167>	<25>
4,80	<96>	<178>	<28>
4,90	<101>	<187>	<31>
5,00	<108>	<200>	<34>
5,10	<116>	<215>	<38>
5,20	<122>	<226>	<41>
5,30	<130>	<241>	<45>
5,40	<137>	<254>	<49>
5,50	<145>	<269>	<53>
5,60	<152>	<282>	<56>
5,70	<160>	<301>	<61>
5,80	<168>	<312>	<64>
5,90	<175>	<325>	<68>
6,00	<185>	<343>	<73>
6,10	<196>	<364>	<78>
6,20	<206>	<382>	<83>
6,30	<216>	<401>	<88>
6,40	<227>	<421>	<94>
6,50	<238>	<442>	<99>
6,60	<249>	<462>	<105>
6,70	<260>	<482>	<110>
6,80	<272>	<505>	<116>
6,90	<287>	<533>	<124>
7,00	<298>	<553>	<129>
7,10	<311>	<577>	<136>
7,20	<325>	<603>	<143>
7,30	<340>	<631>	<150>
7,40	<353>	<655>	<157>
7,50	<368>	<683>	<164>
7,60	<383>	<711>	<172>
7,70	<398>	<738>	<179>
7,80	<413>	<766>	<187>
7,90	<427>	<792>	<194>
8,00	<443>	<822>	<202>
8,10	<460>	<854>	<210>
8,20	<479>	<889>	<220>
8,30	<496>	<920>	<228>
8,40	<515>	<956>	<238>
8,50	<535>	<993>	<248>
8,60	<553>	<1026>	<257>
8,70	<570>	<1058>	<265>
8,80	<593>	<1100>	<277>
8,90	<612>	<1136>	<286>
9,00	<634>	<1176>	<297>
9,10	<656>	<1217>	<308>
9,20	<675>	<1252>	<318>
9,30	<700>	<1299>	<330>
9,40	<721>	<1338>	<341>
9,50	<745>	<1382>	<353>
9,60	<768>	<1425>	<364>
9,70	<795>	<1475>	<378>
9,80	<817>	<1516>	<389>
9,90	<843>	<1564>	<402>
10,00	<867>	<1605>	<413>
10,10	<895>	<1661>	<428>
10,20	<920>	<1707>	<440>
10,30	<946>	<1755>	<453>
10,40	<975>	<1809>	<468>
10,50	<1005>	<1865>	<483>
10,60	<1037>	<1924>	<499>
10,70	<1065>	<1976>	<513>
10,80	<1095>	<2041>	<530>
10,90	<1125>	<2087>	<543>
11,00	<1155>	<2143>	<558>
11,10	<1190>	<2199>	<573>
11,20	<1220>	<2260>	<589>
11,30	<1255>	<2260>	<607>
11,40	<1290>	<2260>	<624>
11,50	<1320>	<2260>	<640>
11,60	<1355>	<2260>	<658>
11,70	<1390>	<2260>	<675>
11,80	<1425>	<2260>	<693>
11,90	<1465>	<2260>	<711>
12,00	<1500>	<2260>	<728>
12,10	<1500>	<2260>	<980>
12,20	<1500>	<2260>	<980>
12,30	<1500>	<2260>	<980>
12,40	<1500>	<2260>	<980>
12,50	<1500>	<2260>	<980>
12,60	<1500>	<2260>	<980>
12,70	<1500>	<2260>	<980>
12,80	<1500>	<2260>	<980>
12,90	<1500>	<2260>	<980>
13,00	<1500>	<2260>	<980>
13,10	<1500>	<2260>	<980>
13,20	<1500>	<2260>	<980>
13,30	<1500>	<2260>	<980>
13,40	<1500>	<2260>	<980>
13,50	<1500>	<2260>	<980>
13,60	<1500>	<2260>	<980>
13,70	<1500>	<2260>	<980>
13,80	<1500>	<2260>	<980>
13,90	<1500>	<2260>	<980>
14,00	<1500>	<2260>	<980>
14,10	<1500>	<2260>	<980>
14,20	<1500>	<2260>	<980>
14,30	<1500>	<2260>	<980>
14,40	<1500>	<2260>	<980>
14,50	<1500>	<2260>	<980>
14,60	<1500>	<2260>	<980>
14,70	<1500>	<2260>	<980>
14,80	<1500>	<2260>	<980>
14,90	<1500>	<2260>	<980>
15,00	<1500>	<2260>	<980>
15,10	<1500>	<2260>	<980>
15,20	<1500>	<2260>	<980>
15,30	<1500>	<2260>	<980>
15,40	<1500>	<2260>	<980>
15,50	<1500>	<2260>	<980>
15,60	<1500>	<2260>	<980>
15,70	<1500>	<2260>	<980>
15,80	<1500>	<2260>	<980>
15,90	<1500>	<2260>	<980>
16,00	<1500>	<2260>	<980>
<END_OF_TABLE>
